"";"cargo";"Nome";"Nome_urna";"Partido";"Coligacao";"Profissao";"idade";"sexo";"grau_inst";"estado_civil";"cor";"status_eleitoral"
"1";"VEREADOR";"LUCIANO BEZERRA PROCÓPIO";"LUCIANO PROCÓPIO";"PPS";"PSDB / PPS / PSDC / PC do B / PMB / PP / PTN / PSD";"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS";29;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"NÃO ELEITO"
"2";"VEREADOR";"OZINALDO PEREIRA DE FREITAS";"DADINHO";"PPS";"PSDB / PPS / PSDC / PC do B / PMB / PP / PTN / PSD";"COMERCIÁRIO";39;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3";"VEREADOR";"PAULO GOMES DE SOUSA";"PAULO GOMES";"PC do B";"PSDB / PPS / PSDC / PC do B / PMB / PP / PTN / PSD";"MOTOBOY";36;"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"4";"VEREADOR";"PAULO CÉSAR MATOS DOS SANTOS";"PAULO MATOS";"PSDB";"PSDB / PPS / PSDC / PC do B / PMB / PP / PTN / PSD";"AGENTE DE SAÚDE E SANITARISTA";48;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"5";"VEREADOR";"MARANDIR PEREIRA DUTRA";"MARANDIR ENFERMEIRO";"PP";"PP / PR / PSD / PMB / PSB / PV";"SERVIDOR PÚBLICO MUNICIPAL";47;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"6";"VEREADOR";"FRANK SAIONÁRIA ALVES DE SOUSA";"SAIONÁRIA ENFERMEIRA";"PR";"PP / PR / PSD / PMB / PSB / PV";"ENFERMEIRO";38;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"7";"VEREADOR";"FRANCISCO SARAIVA DANTAS";"BEGA REDEIRO";"PR";"PP / PR / PSD / PMB / PSB / PV";"COMERCIANTE";37;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR QP"
"8";"VEREADOR";"ARIANA MAIA SALDANHA";"ARIANA MAIA";"PP";"PRB / PP / PR";"VEREADOR";42;"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"ELEITO POR QP"
"9";"VEREADOR";"JOAQUIM DE OLIVEIRA";"JOAQUIM DE DADIM";"PR";"PRB / PP / PR";"AGRICULTOR";54;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"10";"VEREADOR";"ANTONIO PEDRO DA SILVA";"TONHO DA VERDURA";"PSL";"PSL / PHS";"COMERCIANTE";51;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"DIVORCIADO(A)";"BRANCA";"SUPLENTE"
